 ,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1,107,255,40.0416,0.8386,1.8574,0.5384,0.9106
2,1356,255,148.7107,0.7705,1.9150,0.5222,0.9627
3,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
4,2326,255,201.0955,0.7228,2.2663,0.4412,0.9716
5,215,255,54.7696,0.9007,1.3308,0.7514,0.9307
6,568,255,88.6690,0.9079,1.3193,0.7580,0.9570
7,619,255,92.9117,0.9011,1.3262,0.7540,0.9560
8,433,255,76.4264,0.9316,1.1559,0.8651,0.9496
9,468,255,81.4975,0.8855,1.2444,0.8036,0.9435
10,1393,255,181.6396,0.5306,3.6917,0.2709,0.9509
11,853,255,109.9828,0.8862,1.3794,0.7250,0.9590
12,313,255,63.9411,0.9620,1.1613,0.8611,0.9572
13,1659,255,180.4680,0.6401,2.8497,0.3509,0.9640
14,18,255,14.7279,1.0000,1.1296,0.8853,0.8571
15,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
16,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
17,11,255,11.8995,0.9762,1.1475,0.8715,0.8148
18,1700,255,176.2670,0.6876,2.3681,0.4223,0.9629
19,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
20,100,255,35.7990,0.9805,1.0209,0.9795,0.9390
21,905,255,115.8823,0.8469,1.3671,0.7315,0.9521
22,1068,255,123.6396,0.8779,1.4588,0.6855,0.9643
23,189,255,50.5269,0.9303,1.0476,0.9545,0.9287
24,2000,255,176.2670,0.8089,1.7001,0.5882,0.9674
25,108,255,36.6274,1.0000,1.0761,0.9293,0.9391
26,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
27,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
28,2031,255,221.6224,0.5196,1.8088,0.5529,0.8403
29,153,255,46.6274,0.8843,1.7802,0.5617,0.9533
30,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
31,402,255,73.0122,0.9476,1.1346,0.8814,0.9549
32,12,255,11.3137,1.0000,1.0000,1.0000,0.8571
33,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
34,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
35,186,255,48.2843,1.0000,1.0156,0.9846,0.9538
36,15,255,13.0711,1.0000,1.1366,0.8798,0.9677
37,1862,255,174.9949,0.7641,1.9546,0.5116,0.9618
38,16,255,13.8995,1.0000,1.1505,0.8692,0.8889
39,1736,255,183.7817,0.6459,2.6246,0.3810,0.9374
40,145,255,50.6274,0.7109,2.3778,0.4206,0.9091
41,76,255,30.9706,0.9957,1.0689,0.9355,0.9383
42,58,255,27.5563,0.9598,1.0493,0.9530,0.9206
43,478,255,81.8406,0.8968,1.3120,0.7622,0.9465
44,10,255,11.0711,1.0000,1.2356,0.8093,0.9091
