 ,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
2,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
3,1393,255,156.9949,0.7102,1.7866,0.5597,0.9321
4,217,255,56.7696,0.8461,1.1327,0.8829,0.8986
5,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
6,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
7,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
8,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
9,7,255,9.0711,1.0000,1.0688,0.9356,0.8750
10,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
11,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
12,8,255,10.4853,0.9144,1.5537,0.6436,0.8000
13,17,255,15.3137,0.9110,1.5529,0.6439,0.8500
14,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
15,6,255,11.6569,0.5549,3.2543,0.3073,0.7500
16,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
17,11,255,11.3137,1.0000,1.1388,0.8781,0.8148
18,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
19,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
20,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
21,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
22,26,255,18.9706,0.9079,1.3551,0.7380,0.8254
23,10,255,11.8995,0.8875,1.3765,0.7265,0.7692
24,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
25,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
26,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
27,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
28,497,255,103.5391,0.5826,1.7405,0.5745,0.8270
29,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
30,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
31,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
32,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
33,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
34,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
35,4,255,7.6569,0.8574,2.0313,0.4923,0.8000
36,8,255,11.3137,0.7854,1.4532,0.6882,0.8000
37,13,255,16.7279,0.5838,2.6435,0.3783,0.7222
38,12,255,11.6569,1.0000,1.3333,0.7500,1.0000
39,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
40,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
41,6,255,10.4853,0.6858,1.5253,0.6556,0.6667
42,11,255,17.3137,0.4611,1.5153,0.6599,0.6286
43,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
44,5,255,7.0711,1.0000,1.5530,0.6439,0.9091
45,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
46,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
47,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
48,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
49,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
50,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
51,65,255,28.9706,0.9732,1.0481,0.9541,0.9155
52,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
53,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
54,20,255,19.3137,0.6738,1.4870,0.6725,0.8000
55,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
56,4,255,7.6569,0.8574,2.0313,0.4923,0.8000
57,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
58,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
59,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
60,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
61,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
62,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
63,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
64,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
65,6,255,8.4853,1.0000,1.8091,0.5528,0.8000
66,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
67,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
68,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
69,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
70,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
71,15,255,13.3137,1.0000,1.4352,0.6968,0.8824
72,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
73,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
74,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
75,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
76,337,255,77.8406,0.6989,2.1215,0.4714,0.8630
77,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
78,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
79,4,255,7.6569,0.8574,2.0000,0.5000,0.8000
80,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
81,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
82,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
83,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
84,76,255,57.2548,0.2913,2.4122,0.4146,0.6255
85,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
86,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
87,8,255,10.4853,0.9144,1.1952,0.8367,0.8000
88,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
89,9,255,11.3137,0.8836,2.3145,0.4321,0.7826
90,5,255,7.0711,1.0000,1.5530,0.6439,0.9091
91,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
92,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
93,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
94,8,255,9.0711,1.0000,1.2286,0.8139,0.9412
95,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
96,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
97,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
98,63,255,30.3848,0.8575,1.5634,0.6396,0.8873
99,5,255,8.4853,0.8727,1.4961,0.6684,0.7143
100,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
101,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
102,28,255,28.6274,0.4293,3.0230,0.3308,0.6364
103,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
104,4,255,7.6569,0.8574,1.4676,0.6814,0.8000
105,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
106,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
107,4,255,8.4853,0.6981,1.6367,0.6110,0.7273
108,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
109,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
110,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
111,28,255,31.6985,0.3502,5.9811,0.1672,0.6364
112,19,255,14.7279,1.0000,1.1615,0.8610,0.8837
113,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
114,10,255,11.3137,0.9817,1.0279,0.9728,0.7692
115,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
116,5,255,7.0711,1.0000,1.5530,0.6439,0.9091
117,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
118,4,255,7.6569,0.8574,1.4676,0.6814,0.8000
119,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
120,2790,255,252.5929,0.5495,2.2192,0.4506,0.8673
121,73,255,30.3848,0.9936,1.0863,0.9205,0.9299
122,7,255,9.8995,0.8976,1.6678,0.5996,0.7778
123,64,255,47.3553,0.3586,1.8472,0.5414,0.6809
124,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
125,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
126,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
127,22,255,22.9706,0.5239,3.4511,0.2898,0.7586
128,8,255,15.3137,0.4287,2.8903,0.3460,0.7273
129,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
130,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
131,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
132,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
133,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
134,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
135,3,255,6.2426,0.9674,3.0000,0.3333,1.0000
136,4,255,7.6569,0.8574,2.0313,0.4923,0.8000
137,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
138,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
139,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
140,4,255,7.0711,1.0000,1.4676,0.6814,0.8000
141,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
142,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
143,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
144,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
145,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
